species_code,ssid,raw_species,raw_common,aphiaID,TSN
22234,ak,Careproctus cf. gilberti (Orr),dominator snailfish,126156,167488
22235,ak,Careproctus colletti,Alaska snailfish,254547,167496
22236,ak,Careproctus rastrinus,salmon snailfish,274464,167513
22237,ak,Careproctus ovigerus,abyssal snailfish,274454,643717
22238,ak,Liparis tunicatus,kelp snailfish,154825,167579
22239,ak,Careproctus zachirus,paintbrush snailfish,274483,643884
22240,ak,Careproctus candidus,bigeye snailfish,282939,167527
22240,ak,Temnocora candida,bigeye snailfish,282939,167527
22241,ak,Paraliparis dactylosus,red snailfish,274568,167597
22242,ak,Paraliparis rosaceus,rosy snailfish,274608,644309
22243,ak,Paraliparis deani,prickly snailfish,274570,167598
22244,ak,Paraliparis cephalus,swellhead snailfish,274562,167595
22245,ak,Careproctus lycopersicus,tomato snailfish,834999,NA
22246,ak,Careproctus comus,comic snailfish,398460,NA
22247,ak,Careproctus oregonensis,Oregon snailfish,274452,643861
22248,ak,Careproctus microstomus,smallmouth snailfish,274446,643858
22249,ak,Paraliparis pectoralis,pectoral snailfish,274604,644305
22250,ak,Paraliparis,,126161,167592
22251,ak,Careproctus ostentum,microdisk snailfish,274453,167508
22252,ak,Paraliparis paucidens,toothless snailfish,274603,644304
22253,ak,Lipariscus nanus,pygmy snailfish,281365,167589
22254,ak,Liparis bathyarcticus,nebulous snailfish,867958,NA
22255,ak,Nectoliparis pelagicus,tadpole snailfish,281641,167591
22256,ak,Careproctus staufferi,wry snailfish,1493316,NA
